key_mlbam,slug
571927,stevenmatz
666176,joadell
677594,juliorodriguez
691740,danielsusac
680757,stevenkwan
677976,randydobnak
691441,cristianmena
571882,dereklaw
691720,kylekarros
664913,sethbrown
607237,amirgarrett
656848,michaelpetersen
664056,harrisonbader
682729,jonatanclase
677943,willbanfield
621389,tyblach
664761,alecbohm
669622,anthonybender
543391,caseykelly
691023,jordanwalker
687263,zachneto
682877,juanbrito
687765,mitchspence
640454,mattkrook
642048,taylersaucedo
701807,carsonbenge
641343,jakebauers
683000,rileycornelio
656484,tristangray
687209,zachmaxwell
681146,jonahbride
642121,colesulser
666200,jesusluzardo
682445,domingogonzalez
682987,spencerjones
690984,peteyhalpin
658648,pedroavila
682073,davidhensley
691769,philipabner
676440,tannerbibee
641302,tyleralexander
663586,austinriley
699912,josefernandez
592836,taijuanwalker
701487,piersonohl
696062,wilberdotel
702358,treylipscomb
622075,yencyalmonte
695684,elmerrodriguez
621111,walkerbuehler
650895,diegocastillo
501303,ehireadrianza
649966,luisurias
669449,jakepalisch
657193,eddyalvarez
695578,jameswood
605130,scottbarlow
674384,eduarnielnunez
623451,jacksonstephens
657061,coletucker
702056,treyyesavage
656240,scottblewett
676466,jackwinkler
686826,brycejarvis
702273,noahschultz
656786,parkermushinski
690382,michaeldarrellhicks
621438,tyronetaylor
661563,luisgil
664874,sebyzavala
573186,marcusstroman
666120,iananderson
695549,jacksonjobe
678882,ceddannerafaela
666974,yenniercano
643446,jeffmcneil
691406,juniorcaminero
502043,kylegibson
660844,leorivas
622268,donovanwalton
672629,gerardocarrillo
605397,joemusgrove
571670,dylanfloro
682274,yaramilhiraldo
676369,nelsonvelazquez
694361,willklein
642701,dennissantana
672744,alexandercanario
669721,davisdaniel
660162,yoanmoncada
677865,justinbruihl
807712,lukekeaschall
691718,petecrowarmstrong
700270,yilberdiaz
678226,daysbelhernandez
669062,erikmiller
805299,brandyngarcia
801501,natefurman
682668,luisangelacuna
605447,jordanromano
657649,jaredkoenig
596142,garysanchez
690928,hunterdobbins
673380,dednielnunez
623211,huascarbrazoban
688363,grahampauley
543135,nathaneovaldi
666159,mattmanning
680880,grantholman
670770,tjfriedl
680885,spencerschwellenbach
689200,jacobmelton
641816,tylermahle
663728,calraleigh
594798,jacobdegrom
641598,mitchgarver
621512,tomasnido
675656,kevinsmith
664776,jakecousins
665489,vladimirguerrero
671117,darrenbaker
663671,nicenright
676477,garrettwhitlock
674444,stevencruz
665856,jaircamargo
694224,gabrielgonzalez
543294,kylehendricks
657508,mikebaumann
807747,rikuunishida
656671,joshmaciejewski
695336,thomassaggese
682617,marcoluciano
650893,genesiscabrera
593423,frankiemontas
572955,piercejohnson
670174,joshwinckowski
669022,mackenziegore
571945,milesmikolas
688297,chrisroycroft
669392,samadtaylor
518397,scottalexander
656887,seanreidfoley
643565,miketauchman
676475,alecburleson
641820,treymancini
677161,zackkelly
666205,kylemuller
686930,masonbarnett
669374,kestonhiura
669111,johnmcmillon
596019,franciscolindor
682982,danielespino
668820,maxkranick
665839,enmanuelvaldez
656945,tannerscott
641729,joejimenez
660600,enoliparedes
700363,ajsmithshawver
640459,briannavarreto
682927,ronnysimon
679845,nickloftin
670090,wyattmills
686482,logandriscoll
682171,pennmurfee
670990,yohanramirez
694341,brendanbeck
668933,grahamashcraft
641927,baileyober
642520,gersongarabito
571527,davidbuchanan
592791,jamesontaillon
663399,brandonwaddell
683352,mitchbratt
669920,jasonalexander
665506,cristianpache
669456,shanebieber
663550,treycabbage
677960,ryanweathers
677870,leojimenez
657514,brennanbernardino
493329,yuligurriel
700246,carsonwilliams
663436,davismartin
695391,brettharris
671284,timelko
689672,drewthorpe
686563,jonathancannon
662253,andresmunoz
642727,sergioalcantara
622534,manuelmargot
670276,calstevenson
665620,deivigarcia
660813,brusdargraterol
668873,calebkilian
687287,patrickmonteverde
621381,mattstrahm
694355,tylergentry
657024,erikswanson
642020,chuckierobinson
646241,enmanueldejesus
694208,moisesballesteros
594580,sammoll
690978,daxfulton
664744,joseespada
657746,joeryan
687863,porterhodge
687074,tylerowens
663584,haydensenger
641712,dakotahudson
657277,loganwebb
663947,tylerholton
595909,jakecave
595928,johncurtiss
668731,akilbaddoo
686823,willbrennan
472610,luisgarcia
687847,marcchurch
592866,trevorwilliams
605335,brandonleibrandt
668881,huntergreene
606160,rafaelmontero
672782,yoendrysgomez
663630,ryanmckenna
623912,haroldramirez
694738,landenroupp
681676,ryanfernandez
663616,trevorlarnach
668942,joshrojas
624428,adamfrazier
676508,bencasparius
663941,tristanbeck
595897,nickburdi
683769,huntergaddis
691458,blazejordan
643338,chadgreen
663757,trentgrisham
695657,colsonmontgomery
527048,martinperez
669477,caseyschmitt
672582,angelzerpa
664948,anthonymisiewicz
