batter,pitcher,batTeam,fldTeam,path,outcome,bb
664023,694738,CHC,SFG,0345,Out,F
455117,642207,SDP,NYY,0125,K,
457705,664208,PIT,STL,0147,Out,G
593428,596133,SDP,NYY,0,1B,L
665742,620454,NYM,ARI,0125,Out,G
680574,660853,CIN,ATL,0145,K,
669065,676263,MIA,LAD,0,Out,G
592450,669093,NYY,SDP,014,Out,F
592518,596133,SDP,NYY,014,2B,L
570482,668984,OAK,SEA,014,Out,G
682641,573204,SFG,CHC,012,K,
670770,700363,CIN,ATL,014,Out,G
669257,663969,LAD,MIA,012,K,
681393,676508,MIA,LAD,014,Out,F
673548,702352,CHC,SFG,034,1B,G
681624,666277,LAD,MIA,012,3B,F
624413,674072,NYM,ARI,014,1B,L
456781,621053,SEA,OAK,014,Out,F
672724,686701,NYY,SDP,034,Out,G
663698,700669,PIT,STL,036,Out,F
694192,669854,MIL,HOU,012,Out,G
657077,663903,ATL,CIN,012,Out,G
514888,668964,HOU,MIL,0,Out,G
805367,666142,CHW,KCR,012,1B,L
608348,806185,CHC,SFG,034,HR,F
669221,682825,ATL,CIN,012,Out,G
805779,663423,OAK,SEA,03,Out,G
665161,668964,HOU,MIL,01,1B,G
667472,681911,MIA,LAD,03,Out,L
676475,666214,STL,PIT,03,Out,L
671732,682243,OAK,SEA,03,Out,F
682998,656288,ARI,NYM,03,HR,F
624428,681517,PIT,STL,01,Out,F
641487,622663,SEA,OAK,03,1B,L
660821,672782,MIA,LAD,03,1B,G
596019,669194,NYM,ARI,03,Out,F
669364,676263,MIA,LAD,01,Out,G
641943,674444,CHW,KCR,03,Out,G
624413,666661,NYM,ARI,0,Out,G
805779,662253,OAK,SEA,0,1B,G
673357,608032,CHW,KCR,0,Out,G
663457,657571,STL,PIT,0,Out,F
455117,657612,SDP,NYY,0,Out,G
682626,657044,NYM,ARI,0,1B,G
668709,668984,OAK,SEA,0369,Out,
669127,668984,OAK,SEA,0369,Out,
666163,701542,TBR,NYY,01258bbb,K,
682668,607200,NYM,STL,0147ab,1B,G
624641,593958,PHI,ARI,0347abbbb,BB,
669134,571760,SDP,PIT,0367a,BB,
682622,669022,CIN,WSN,03458bb,K,
642201,669160,ATL,LAD,034788b,K,
686668,657277,COL,SFG,01458,Out,F
593428,571760,SDP,PIT,03678b,BB,
643446,607200,NYM,STL,0367ab,BB,
650859,681857,LAA,DET,0147a,BB,
608671,701542,TBR,NYY,034558,K,
692225,663978,BOS,MIN,034588b,Out,F
682829,669022,CIN,WSN,03458bb,BB,
664761,593958,PHI,ARI,0,2B,L
673962,688138,TEX,SEA,03,Out,P
676701,657277,COL,SFG,0,1B,F
592663,593958,PHI,ARI,03,Out,P
671739,669160,ATL,LAD,0367,Out,G
607732,657277,COL,SFG,012258,K,
666969,688138,TEX,SEA,0367ab,K,
575929,656731,STL,NYM,03458,K,
681351,681857,LAA,DET,03458b,BB,
592518,571760,SDP,PIT,01,1B,L
592206,593958,PHI,ARI,0345,K,
701305,669060,HOU,CHW,03678,HR,F
673548,642547,CHC,MIL,01258,K,
620443,607200,NYM,STL,01,Out,G
593871,594798,SEA,TEX,0145,K,
664034,676979,MIN,BOS,036,Out,G
502671,671737,NYY,TBR,0367ab,BB,
678554,701542,TBR,NYY,01458b,K,
641943,621121,CHW,HOU,0367abb,BB,
608324,663978,BOS,MIN,0,Out,G
668901,607200,NYM,STL,03458bb,BB,
650333,571760,SDP,PIT,0145,Out,F
645277,669160,ATL,LAD,0,Out,G
663993,607259,WSN,CIN,01458,Out,F
672386,676440,TOR,CLE,01,Out,P
518692,693821,LAD,ATL,0347888,1B,G
646240,663978,BOS,MIN,034,Out,P
669289,669022,CIN,WSN,036788b,K,
680777,676979,MIN,BOS,034,Out,F
